2025-06-12 19:23:10 [http-nio-8080-exec-1] INFO  c.k.tliasbackend.service.impl.EmployeeServiceImpl - Fetching employees by condition started.
2025-06-12 19:23:11 [http-nio-8080-exec-1] INFO  c.k.tliasbackend.service.impl.EmployeeServiceImpl - Fetched 10 employees from the database based on the given conditions.
2025-06-12 19:23:11 [http-nio-8080-exec-1] INFO  c.k.tliasbackend.service.impl.EmployeeServiceImpl - Converting Employee entities to EmployeeResponseDTOs then convert to PageResult.
2025-06-12 19:23:11 [http-nio-8080-exec-1] INFO  c.k.tliasbackend.service.impl.EmployeeServiceImpl - Converted 10 Employee entities to EmployeeResponseDTOs completed.
2025-06-12 19:23:11 [http-nio-8080-exec-1] INFO  c.k.tliasbackend.service.impl.EmployeeServiceImpl - Converting EmployeeResponseDTOs to PageInfo.
2025-06-12 19:23:11 [http-nio-8080-exec-1] INFO  c.k.tliasbackend.service.impl.EmployeeServiceImpl - Returning PageResult with total: 10 and records size: 10
2025-06-12 22:10:14 [http-nio-8080-exec-1] INFO  c.k.tliasbackend.service.impl.EmployeeServiceImpl - Fetching employees by condition started.
2025-06-12 22:10:14 [http-nio-8080-exec-1] INFO  c.k.tliasbackend.service.impl.EmployeeServiceImpl - Fetched 10 employees from the database based on the given conditions.
2025-06-12 22:10:14 [http-nio-8080-exec-1] INFO  c.k.tliasbackend.service.impl.EmployeeServiceImpl - Converting Employee entities to EmployeeResponseDTOs then convert to PageResult.
2025-06-12 22:10:14 [http-nio-8080-exec-1] INFO  c.k.tliasbackend.service.impl.EmployeeServiceImpl - Converted 10 Employee entities to EmployeeResponseDTOs completed.
2025-06-12 22:10:14 [http-nio-8080-exec-1] INFO  c.k.tliasbackend.service.impl.EmployeeServiceImpl - Converting EmployeeResponseDTOs to PageInfo.
2025-06-12 22:10:14 [http-nio-8080-exec-1] INFO  c.k.tliasbackend.service.impl.EmployeeServiceImpl - Returning PageResult with total: 10 and records size: 10
